Product Name,1 Kg,500 g,250 g,100 g,50 g,25 g,Category
ROSE (GULAB) 7001,4000,2000,1000,425,225,120,
ROSE 729,3250,1625,813,350,188,100,
ROSE OUD,11500,5750,2875,1175,600,305,
ROSE PRICK,12000,6000,3000,1225,625,320,
ROYAL BLACK,5500,2750,1375,575,300,155,
ROYAL BLUE,4000,2000,1000,425,225,120,
ROYAL MIRAGE,5750,2875,1438,600,313,160,
ROYAL OUD,16000,8000,4000,1625,825,420,
ROYAL PINK,8000,4000,2000,825,425,220,
ROYAL PROPHECY,5250,2625,1313,550,288,150,
ROYAL ROSE,13250,6625,3313,1350,688,350,
SABAYA,5000,2500,1250,525,275,145,
SACRED LOVE,13250,6625,3313,1350,688,350,
SADAF,3250,1625,813,350,188,100,
SAFARI EXTREME,18500,9250,4625,1875,950,480,
SALMA,3000,1500,750,325,175,95,
SALVATORE FERRAGAMO,13250,6625,3313,1350,688,350,
SALWA,6250,3125,1563,650,338,175,
SANDAL AF,16000,8000,4000,1625,825,420,
SANDAL BM,10500,5250,2625,1075,550,280,
SANDAL FAIZA,26500,13250,6625,2675,1350,680,
SANDAL FRAGO,11250,5625,2813,1150,588,300,
SANDAL KB,13250,6625,3313,1350,688,350,
SANDAL ROSE,8000,4000,2000,825,425,220,
SANDAL9222,6750,3375,1688,700,363,185,
SANDALYA,10000,5000,2500,1025,525,270,
SAUVAGE ALLURE,9250,4625,2313,950,488,250,
SAUVAGE ELIXIR,29250,14625,7313,2950,1488,750,
SAUVAGE SUPER,8000,4000,2000,825,425,220,
SCANDLE,7250,3625,1813,750,388,200,
SCARLETT POPPY INTENSE,16000,8000,4000,1625,825,420,
SECRET MUSK,10500,5250,2625,1075,550,280,
SHADHA,5500,2750,1375,575,300,155,
SHADOW HI,5750,2875,1438,600,313,160,
SHAHI GULAB,8000,4000,2000,825,425,220,
SHAMAMA 12,20000,10000,5000,2025,1025,520,
SHAMAMA AARFEEN,160000,80000,40000,16025,8025,4020,
SHAMAMA MOHTARAM,113250,56625,28313,11350,5688,2850,
SHAMAMA SYNTHETIC,9250,4625,2313,950,488,250,
SHANAYA,10500,5250,2625,1075,550,280,
SHANAYA GOLD,16000,8000,4000,1625,825,420,
SHANAYA HG,12000,6000,3000,1225,625,320,
SHANAYA HI,7250,3625,1813,750,388,200,
SHANAYA HN,5250,2625,1313,550,288,150,
SHAY OUD,10000,5000,2500,1025,525,270,
SIGNATURE,4500,2250,1125,475,250,130,
SILK MUSK,32000,16000,8000,3225,1625,820,
SILKY OUD,8000,4000,2000,825,425,220,
SILVER,5750,2875,1438,600,313,160,
SILVER SHADOW,6500,3250,1625,675,350,180,
SMOKING HOT,12000,6000,3000,1225,625,320,
SOFT,4750,2375,1188,500,263,135,
SOFT HI,3000,1500,750,325,175,95,
SPICE BOMB,5250,2625,1313,550,288,150,
SPIRIT OF DUBAI IGNITION,9250,4625,2313,950,488,250,
SRF RAEES,6500,3250,1625,675,350,180,
GOD OF FIRE,12000,6000,3000,1225,625,320,
STRONGER WITH YOU HI,6000,3000,1500,625,325,170,
SULTAN,9250,4625,2313,950,488,250,
SULTAN HM,16000,8000,4000,1625,825,420,
SULTAN STRONG,12000,6000,3000,1225,625,320,
SWEET SANDAL,6500,3250,1625,675,350,180,
SWISS OUD,21250,10625,5313,2150,1088,550,
TAJ SUNSET,5750,2875,1438,600,313,160,
TAM DAO,8750,4375,2188,900,463,235,
TEMPEST,16000,8000,4000,1625,825,420,
TITAN OUD,13250,6625,3313,1350,688,350,
TITAN SKINN AMALFI BLUE,4750,2375,1188,500,263,135,
TITAN SKINN HG,8750,4375,2188,900,463,235,
TITAN SKINN HH,6000,3000,1500,625,325,170,
TITAN SKINN NUDE,6500,3250,1625,675,350,180,
TITAN SKINN RAW,10500,5250,2625,1075,550,280,
TOBACCO OUD (HI),6000,3000,1500,625,325,170,
TOBACCO OUD INTENSE HI,6750,3375,1688,700,363,185,
TOBACCO VANILLA,3500,1750,875,375,200,105,
TOM FORD NOIR,10000,5000,2500,1025,525,270,
TOMMY HILFIGER GIRL,4750,2375,1188,500,263,135,
TUSCAN LEATHER,4750,2375,1188,500,263,135,
TUSCAN LEATHER HH,7250,3625,1813,750,388,200,
TUSKISH OUD,8000,4000,2000,825,425,220,
ULTRA MALE,5250,2625,1313,550,288,150,
URBAN HERO,7250,3625,1813,750,388,200,
VALENTINO BORN IN ROMA UOMO,10000,5000,2500,1025,525,270,
VAMPIRE BLOOD,18500,9250,4625,1875,950,480,
VAMPIRE BLOOD HH,9250,4625,2313,950,488,250,
VANILLA 28,6500,3250,1625,675,350,180,
VANILLA AND ANISE,8000,4000,2000,825,425,220,
VANILLA ROSE SUGAR,8000,4000,2000,825,425,220,
VANILLA SEX,5250,2625,1313,550,288,150,
VELVET ORCHID,7000,3500,1750,725,375,195,
VELVET OUD,13250,6625,3313,1350,688,350,
VERSACE EROS FEMALE,10000,5000,2500,1025,525,270,
VERSACE EROS HOMME,6500,3250,1625,675,350,180,
VIKING,9250,4625,2313,950,488,250,
VIRGIN,8000,4000,2000,825,425,220,
WHITE LONDON,5250,2625,1313,550,288,150,
WHITE MUSK ARABIAN,5250,2625,1313,550,288,150,
WHITE OUD AL NUAIM,6000,3000,1500,625,325,170,
WHITE OUD SF,5000,2500,1250,525,275,145,
WHITE OUD STRONG,9250,4625,2313,950,488,250,
WHITE OUD SUPER,13250,6625,3313,1350,688,350,
WHITE PATCHOLI,13250,6625,3313,1350,688,350,
WHITE TULIP AND BARLEY,11500,5750,2875,1175,600,305,
WILD BLUEBELL,8000,4000,2000,825,425,220,
WILD FIG AND CASSIS,9250,4625,2313,950,488,250,
WILD LEATHER,16000,8000,4000,1625,825,420,
WILD STONE CHIEF,6500,3250,1625,675,350,180,
WILDSTONE COPPER,8750,4375,2188,900,463,235,
WILDSTONE COPPER S,13250,6625,3313,1350,688,350,
WILDSTONE RED,5500,2750,1375,575,300,155,
WILLOW AND AMBER,6500,3250,1625,675,350,180,
WISAL DAHAB,6500,3250,1625,675,350,180,
WISAL MH,10750,5375,2688,1100,563,285,
WOOD SAGE AND SEA SALT,9250,4625,2313,950,488,250,
YAARA,10500,5250,2625,1075,550,280,
YAARA CANDY,5250,2625,1313,550,288,150,
YAARA PINK,6500,3250,1625,675,350,180,
YAARA YELLOW,9250,4625,2313,950,488,250,
YSL BABY CAT,6500,3250,1625,675,350,180,
YSL BLACK OPIUM,4500,2250,1125,475,250,130,
YSL LIBRE,6500,3250,1625,675,350,180,
YSL LIBRE INTENSE,9250,4625,2313,950,488,250,
YSL M7 OUD,6500,3250,1625,675,350,180,
YSL MON PARIS,5250,2625,1313,550,288,150,
YSL SILVER KOURUS,6500,3250,1625,675,350,180,
YSL TUXEDO,9250,4625,2313,950,488,250,
YSL Y,6500,3250,1625,675,350,180,
YUM PISTACHIO,9250,4625,2313,950,488,250,
YUM PISTACHIO GELATO HI,8000,4000,2000,825,425,220,
ZAFRAN B,6750,3375,1688,700,363,185,
ZAMZAM,5250,2625,1313,550,288,150,
ZANZIBAR,8000,4000,2000,825,425,220,
ZARA 7,8000,4000,2000,825,425,220,
ZARA 8,8000,4000,2000,825,425,220,
ZARA AMBER HH,12000,6000,3000,1225,625,320,
ZARA BLACK,8000,4000,2000,825,425,220,
ZARA GOLD,6000,3000,1500,625,325,170,
ZARA GOLD HH,5250,2625,1313,550,288,150,
ZARA LISBIOA,5250,2625,1313,550,288,150,
ZARA NIGHT POUR HOMME,8000,4000,2000,825,425,220,
ZARA VIBRANT LEATHER,10500,5250,2625,1075,550,280,
ZIDANE,6000,3000,1500,625,325,170,
ZUBEDA 8,10500,5250,2625,1075,550,280,
ZUBEDA 9,12000,6000,3000,1225,625,320,
ZX BLACK,8000,4000,2000,825,425,220,
