Product Name,1 Kg,500 g,250 g,100 g,50 g,25 g,Category
BLACK OUD (MF),24500,12250,6125,2475,1250,630,Arabian
BLACK OUD BCH,9250,4625,2313,950,488,250,Arabian
BLACK OUD KT,19250,9625,4813,1950,988,500,Arabian
BLACK OUD(S),20000,10000,5000,2025,1025,520,Arabian
BLACK ROSE,5500,2750,1375,575,300,155,Indian
BLACK STONE,5250,2625,1313,550,288,150,Designer
BLACK VANILLA,8000,4000,2000,825,425,220,Designer
BLACK XS,4500,2250,1125,475,250,130,Designer
BLACK ZX,6250,3125,1563,650,338,175,Designer
BLOSSOM,6500,3250,1625,675,350,180,Designer
BLUE DEO,5250,2625,1313,550,288,150,Designer
BLUE LADY,4000,2000,1000,425,225,120,Designer
BLUE MOON,8000,4000,2000,825,425,220,Designer
BLUE MUSK,9250,4625,2313,950,488,250,Designer
BLUE OUD,11500,5750,2875,1175,600,305,Arabian
BLUE OUD HH,10500,5250,2625,1075,550,280,Arabian
BLUE OUD S,26500,13250,6625,2675,1350,680,Arabian
BLUE WAVE,4000,2000,1000,425,225,120,Designer
BOMBSHELL,4000,2000,1000,425,225,120,Designer
BRAZILIAN CRUSH,8000,4000,2000,825,425,220,Designer
BRIGHT CRSYTAL,5250,2625,1313,550,288,150,Designer
BRUT HN,3500,1750,875,375,200,105,Designer
BRYAN & CANDY SENSUAL,5250,2625,1313,550,288,150,Designer
BURBERRY HER,8000,4000,2000,825,425,220,Designer
BURBERRY HERO,8000,4000,2000,825,425,220,Designer
BURBERRY LONDON,3250,1625,813,350,188,100,Designer
BURBERRY MY BURBERRY,6500,3250,1625,675,350,180,Designer
BURBERRY WEEKEND,3000,1500,750,325,175,95,Designer
BVLGARI AQUA,5250,2625,1313,550,288,150,Designer
BVLGARI FALKAR,16000,8000,4000,1625,825,420,Designer
BVLGARI MAN IN BLACK,10500,5250,2625,1075,550,280,Designer
BVLGARI TYGAR,24000,12000,6000,2425,1225,620,Designer
BY THE FIRE PLACE,8000,4000,2000,825,425,220,Designer
CAFE INTENSE,8000,4000,2000,825,425,220,Designer
CAFE ROSE,12000,6000,3000,1225,625,320,Indian
CANDY AOUD,13250,6625,3313,1350,688,350,Arabian
CARAMEL OUD,18500,9250,4625,1875,950,480,Arabian
CARAMEL OUD S,46500,23250,11625,4675,2350,1180,Arabian
CERRUTI,5500,2750,1375,575,300,155,Designer
CHANDAN KESAR,3500,1750,875,375,200,105,Designer
CHANEL ALLURE SPORT,6500,3250,1625,675,350,180,Designer
